130.191.17.106	gimli.sdsu.edu
130.191.17.107	arwen.sdsu.edu
130.191.17.110	pharos.sdsu.edu
130.191.17.113	frodo.sdsu.edu
130.191.17.114	bamboo.sdsu.edu
130.191.17.115	alatar.sdsu.edu
130.191.17.117	lats.sdsu.edu
130.191.17.119	ezcheese.sdsu.edu
130.191.17.120	anduril.sdsu.edu
130.191.17.123	infoserv.sdsu.edu
130.191.17.126	snowmane.sdsu.edu
130.191.17.146	codex.sdsu.edu
130.191.17.150	elfdrums.sdsu.edu
130.191.17.152	elfwings.sdsu.edu
130.191.17.154	elendor.sdsu.edu
130.191.17.155	arnor.sdsu.edu
130.191.17.157	skater.sdsu.edu
130.191.17.158	shadowfax.sdsu.edu
130.191.17.159	rhun.sdsu.edu
130.191.17.160	patchit.lib.sdsu.edu
130.191.17.181	crwilson.sdsu.edu
130.191.17.182	pippin.sdsu.edu
130.191.17.194	xroads.sdsu.edu
130.191.17.201	palm.sdsu.edu
130.191.17.205	thorin.sdsu.edu
130.191.17.211	faramir.sdsu.edu
130.191.17.212	libint.sdsu.edu
130.191.17.214	florin.sdsu.edu
130.191.17.218	reefbreak.sdsu.edu
130.191.17.224	gus.sdsu.edu
130.191.17.227	klondike.lib.sdsu.edu
130.191.17.228	pointbreak.sdsu.edu
130.191.17.231	elfsong.sdsu.edu
130.191.17.232	cldavis.sdsu.edu
130.191.18.35	infosource.sdsu.edu
130.191.18.72	dsshtc.sdsu.edu
130.191.18.132	htcpub.sdsu.edu
130.191.18.137	sdsweb.htcpub.sdsu.edu
130.191.18.197	edcenter-dyn-18-197.sdsu.edu
130.191.18.198	edcenter-dyn-18-198.sdsu.edu
130.191.18.199	gaia.sdsu.edu
130.191.18.201	mr-edcenter.sdsu.edu
130.191.18.202	edcenter-18-202.sdsu.edu
130.191.18.203	edcenter-18-203.sdsu.edu
130.191.18.204	edcenter-18-204.sdsu.edu
130.191.18.205	edcenter-18-205.sdsu.edu
130.191.18.206	edcenter-18-206.sdsu.edu
130.191.18.207	edcenter-18-207.sdsu.edu
130.191.18.208	edcenter-18-208.sdsu.edu
130.191.18.209	edcenter-18-209.sdsu.edu
130.191.18.210	edcenter-18-210.sdsu.edu
130.191.18.211	edcenter-18-211.sdsu.edu
130.191.18.212	edcenter-18-212.sdsu.edu
130.191.18.213	edcenter-18-213.sdsu.edu
130.191.18.214	edcenter-18-214.sdsu.edu
130.191.18.215	edcenter-18-215.sdsu.edu
130.191.18.216	edcenter-18-216.sdsu.edu
130.191.18.217	edcenter-18-217.sdsu.edu
130.191.18.218	edcenter-18-218.sdsu.edu
130.191.18.219	alecto.sdsu.edu
130.191.18.220	cronus.sdsu.edu
130.191.18.221	antaeus.sdsu.edu
130.191.18.222	edcenter-18-222.sdsu.edu
130.191.18.223	edcenter-jeff.sdsu.edu
130.191.18.224	edultra1.sdsu.edu
130.191.18.230	edcenter-dyn-18-230.sdsu.edu
130.191.18.231	edcenter-dyn-18-231.sdsu.edu
